source_ip,destination_ip,destination_port,protocol,timestamp
15.88.41.130,147.236.1.69,60814,TCP,12/1/2022
96.83.162.34,68.203.233.65,52588,UDP,9/17/2022
158.123.79.215,128.180.228.135,30746,TCP,12/29/2022
147.188.114.251,73.24.43.79,12240,UDP,2/19/2022
127.45.47.132,89.94.251.164,31162,UDP,4/22/2022
145.112.158.140,197.148.254.58,48534,ICMP,6/22/2022
73.210.35.165,230.213.206.167,41005,TCP,12/10/2022
178.244.217.8,4.235.93.123,56566,TCP,3/9/2022
118.172.174.212,206.83.120.3,62237,TCP,10/2/2022
200.128.65.116,85.126.70.230,64764,UDP,12/22/2022
166.16.202.82,232.162.16.102,40321,ICMP,6/11/2022
117.176.137.229,185.183.181.53,39576,TCP,11/5/2022
178.95.116.193,99.96.104.66,26539,ICMP,7/16/2022
85.59.249.237,217.172.3.102,33951,ICMP,12/17/2022
66.146.238.50,223.180.117.237,62149,UDP,11/18/2022
140.17.144.33,184.211.128.61,26368,ICMP,5/17/2022
106.86.236.210,252.227.146.144,56709,TCP,5/27/2022
109.87.158.158,103.139.27.19,33236,TCP,3/10/2022
70.193.191.239,201.48.239.216,8360,UDP,6/9/2022
231.206.62.220,188.56.81.200,58330,TCP,8/10/2022
146.56.223.107,126.110.189.196,32008,UDP,7/14/2022
235.202.110.101,47.37.24.159,52023,TCP,2/13/2022
202.234.245.197,193.234.197.39,58160,UDP,11/5/2022
97.74.169.161,33.9.54.107,61941,ICMP,6/7/2022
224.137.132.187,248.245.171.26,12234,UDP,10/27/2022
228.4.164.253,33.165.186.234,39507,UDP,1/27/2022
125.161.244.0,42.85.20.203,22964,TCP,9/26/2022
198.208.68.242,228.249.138.132,6486,ICMP,4/6/2022
190.9.244.64,167.236.95.181,4312,ICMP,4/22/2022
79.61.167.166,51.12.193.226,34446,UDP,8/26/2022
233.14.230.123,207.127.41.210,65461,TCP,10/6/2022
216.111.197.153,207.61.186.204,13958,ICMP,12/17/2022
251.125.16.197,135.114.16.11,60387,UDP,11/14/2022
186.142.192.237,36.3.155.46,11564,TCP,2/20/2022
196.144.56.238,236.238.61.204,35185,ICMP,7/23/2022
215.155.232.119,164.161.63.216,63323,UDP,10/11/2022
12.157.188.99,138.229.225.53,3956,TCP,11/22/2022
140.139.133.104,166.223.156.28,32700,ICMP,9/17/2022
102.247.216.20,97.60.166.188,57074,TCP,5/18/2022
50.92.198.86,173.166.24.163,33652,TCP,9/16/2022
58.130.182.155,102.127.119.156,182,TCP,1/16/2022
163.141.134.251,70.117.146.14,43665,UDP,8/24/2022
54.110.129.46,215.86.187.75,39865,TCP,7/14/2022
86.163.187.14,37.154.77.123,1413,ICMP,8/21/2022
58.98.53.20,0.61.202.246,50958,TCP,3/27/2022
41.200.103.71,144.164.133.188,5401,ICMP,1/29/2022
251.173.119.172,72.20.222.6,2996,ICMP,8/21/2022
6.228.250.114,91.79.176.141,25634,TCP,9/30/2022
214.45.9.17,151.89.21.27,28871,UDP,5/8/2022
171.14.147.207,24.220.148.76,30157,TCP,3/26/2022
9.26.245.83,255.103.14.110,59025,ICMP,3/4/2022
121.76.154.210,58.161.131.247,53911,TCP,11/21/2022
215.244.135.89,8.227.240.157,47838,UDP,8/25/2022
77.156.151.102,100.130.47.245,631,UDP,4/4/2022
14.31.115.11,7.169.199.35,58075,UDP,1/20/2022
30.47.142.135,105.159.109.47,36078,ICMP,6/11/2022
25.157.58.137,28.0.220.251,9173,TCP,7/8/2022
198.110.121.246,150.47.85.255,37568,ICMP,3/30/2022
160.20.170.94,67.19.253.132,7201,TCP,8/17/2022
134.69.7.7,252.147.123.177,39608,ICMP,5/8/2022
26.141.163.176,16.6.248.209,38068,UDP,4/16/2022
155.76.101.14,95.22.100.120,12571,ICMP,4/3/2022
228.221.69.177,239.91.108.59,54945,ICMP,2/18/2022
14.164.199.152,167.88.125.234,12272,UDP,9/27/2022
112.183.249.29,27.37.61.161,38788,ICMP,12/15/2022
146.225.205.225,115.108.91.43,60144,TCP,9/11/2022
19.163.229.29,61.147.1.201,56665,ICMP,11/23/2022
95.157.81.16,55.175.4.51,39286,TCP,3/28/2022
127.16.82.43,107.45.241.230,50757,TCP,3/23/2022
182.119.239.146,113.81.208.253,36374,ICMP,11/22/2022
62.206.141.236,84.178.17.163,41440,UDP,4/18/2022
85.134.171.197,176.81.42.37,57099,UDP,2/15/2022
129.242.36.187,27.89.95.253,21253,ICMP,5/26/2022
201.163.199.206,139.44.133.181,8240,TCP,9/23/2022
41.66.182.190,214.104.130.171,48046,TCP,9/24/2022
2.153.59.62,79.229.3.128,51973,ICMP,12/3/2022
40.85.90.162,133.213.183.130,22551,TCP,5/2/2022
148.48.209.253,251.83.211.100,63710,TCP,8/31/2022
97.119.185.165,18.81.218.36,45071,UDP,2/12/2022
103.247.80.76,246.83.58.30,39563,ICMP,7/10/2022
217.255.30.227,83.198.90.248,2225,ICMP,7/2/2022
193.143.248.76,19.200.37.125,58042,TCP,4/17/2022
143.76.5.70,43.177.172.10,51607,TCP,1/22/2022
92.222.73.246,69.54.146.139,47190,ICMP,9/7/2022
2.42.230.245,105.32.128.93,52452,UDP,12/12/2022
42.57.222.47,68.70.225.188,21475,TCP,3/6/2022
18.91.67.248,170.43.29.1,11325,TCP,11/19/2022
137.76.191.120,250.112.154.116,49047,TCP,4/6/2022
47.72.171.57,12.97.53.237,50753,UDP,5/9/2022
174.60.25.60,96.73.116.42,8303,TCP,2/14/2022
25.30.97.39,5.64.31.39,10427,ICMP,10/13/2022
190.165.233.169,92.223.19.55,54078,UDP,12/19/2022
240.246.68.49,246.26.107.61,58088,TCP,4/3/2022
192.190.208.88,236.227.175.221,48092,UDP,4/8/2022
40.151.245.68,72.160.107.54,34072,UDP,12/11/2022
61.107.161.50,166.28.171.126,33464,UDP,4/28/2022
107.164.124.207,95.196.133.183,10496,ICMP,4/4/2022
36.202.57.119,22.44.89.35,38517,TCP,11/26/2022
249.224.141.30,191.169.103.84,19438,UDP,4/27/2022
23.18.167.125,87.207.11.161,62915,TCP,3/7/2022
66.71.225.249,89.70.170.237,373,UDP,8/11/2022
32.66.192.188,241.205.226.155,13966,UDP,5/13/2022
223.112.135.25,77.93.163.247,47245,UDP,8/30/2022
74.82.121.55,113.100.230.61,29184,UDP,3/13/2022
5.186.150.197,14.201.107.238,52961,ICMP,7/5/2022
67.170.190.205,112.139.116.62,27618,UDP,6/8/2022
255.220.255.151,188.57.162.184,20971,ICMP,6/3/2022
169.224.140.87,168.57.192.75,6369,UDP,4/22/2022
220.200.145.207,26.210.20.58,42871,UDP,1/14/2022
223.46.11.169,148.106.96.244,17262,UDP,9/18/2022
151.166.84.65,86.97.49.210,39024,TCP,6/11/2022
238.105.210.0,200.8.215.22,26443,UDP,10/25/2022
133.136.150.174,100.189.40.80,32575,UDP,6/23/2022
223.186.34.14,166.32.65.172,40142,UDP,8/5/2022
244.77.82.9,17.77.232.153,19673,TCP,4/22/2022
166.190.233.163,191.181.254.55,54445,ICMP,6/16/2022
22.43.229.227,229.18.125.131,26516,ICMP,12/27/2022
184.176.216.90,70.187.57.146,53620,UDP,10/16/2022
15.235.222.134,45.174.83.169,46387,TCP,8/15/2022
141.93.253.80,7.220.127.24,59267,TCP,2/8/2022
60.253.221.34,135.169.196.241,48657,ICMP,1/9/2022
76.49.253.136,154.4.26.101,27954,TCP,6/10/2022
237.100.170.249,41.20.221.173,19155,UDP,11/21/2022
55.171.84.55,36.25.142.36,1877,ICMP,1/6/2022
15.59.192.231,202.13.101.83,7593,UDP,9/14/2022
105.78.50.212,107.203.189.16,1314,ICMP,3/31/2022
21.109.10.221,150.42.56.251,44638,TCP,1/10/2022
217.101.50.189,193.163.206.173,11002,UDP,5/16/2022
125.210.216.175,80.156.162.212,6766,ICMP,5/31/2022
44.155.159.2,165.228.17.54,46476,TCP,1/26/2022
41.161.118.156,30.153.202.115,20182,ICMP,9/22/2022
92.82.119.61,53.55.119.118,39853,TCP,1/18/2022
118.252.70.235,215.164.173.56,5041,ICMP,10/14/2022
10.179.247.121,55.108.237.8,25629,TCP,2/9/2022
85.204.66.239,92.91.225.35,51559,ICMP,11/13/2022
121.132.69.227,235.199.163.138,43610,ICMP,7/11/2022
81.143.232.76,188.218.35.208,51216,UDP,8/4/2022
252.132.132.3,233.129.146.74,40989,UDP,1/13/2022
90.16.195.27,185.146.188.91,47239,TCP,10/8/2022
247.5.81.65,41.12.216.53,33729,ICMP,3/23/2022
42.158.251.254,57.110.230.201,38788,TCP,7/18/2022
114.217.63.167,246.19.217.48,7018,TCP,11/16/2022
213.43.19.89,92.254.255.165,7346,UDP,7/10/2022
103.36.48.157,245.254.229.175,8337,UDP,5/21/2022
68.184.153.85,103.20.99.38,30917,ICMP,9/14/2022
54.172.110.52,11.82.170.6,51013,ICMP,9/19/2022
141.207.181.133,31.4.71.105,64517,UDP,3/26/2022
93.20.84.162,50.169.98.194,42767,TCP,12/7/2022
75.89.90.179,50.171.28.143,18981,TCP,12/30/2022
239.247.91.5,211.53.116.94,40867,ICMP,6/15/2022
74.164.221.95,214.207.226.175,19827,UDP,9/11/2022
247.92.183.87,123.142.187.226,23493,ICMP,5/30/2022
145.76.254.72,186.236.34.180,37686,TCP,5/13/2022
45.98.232.93,8.168.192.75,17166,TCP,1/13/2022
47.225.196.72,119.249.12.50,59692,TCP,10/31/2022
14.179.129.246,119.40.176.199,44632,UDP,2/17/2022
151.36.71.243,196.29.67.0,14467,UDP,3/21/2022
149.182.107.24,71.225.78.162,45634,ICMP,8/5/2022
150.71.195.231,133.65.251.65,1555,UDP,9/12/2022
194.156.125.53,218.225.126.167,29587,ICMP,12/2/2022
188.68.174.69,104.142.248.227,24907,TCP,3/28/2022
190.172.117.75,42.97.248.128,14807,TCP,3/7/2022
160.186.166.164,204.213.204.13,59361,UDP,10/31/2022
142.14.58.85,35.160.72.132,19038,ICMP,12/6/2022
65.102.81.176,135.139.106.86,29337,TCP,8/18/2022
119.79.150.11,32.19.18.120,6341,TCP,4/29/2022
200.128.31.168,51.47.98.109,54391,UDP,5/10/2022
57.23.130.12,113.113.42.50,2030,ICMP,4/25/2022
148.242.195.6,163.22.206.235,11674,UDP,3/9/2022
139.188.171.162,198.215.137.105,14828,TCP,10/19/2022
51.23.136.117,237.106.218.226,21885,ICMP,3/24/2022
47.168.48.238,104.193.242.61,21716,TCP,1/6/2022
176.173.62.35,225.17.102.244,33438,ICMP,2/17/2022
104.100.214.191,120.239.207.223,65400,TCP,9/17/2022
168.106.41.47,14.96.150.188,3699,UDP,8/20/2022
217.142.191.26,254.162.10.83,17948,UDP,10/31/2022
95.230.63.238,164.243.247.58,60041,ICMP,3/31/2022
112.82.158.64,136.201.158.141,53818,TCP,2/17/2022
82.245.30.21,34.242.40.191,7027,TCP,1/24/2022
174.107.232.20,199.34.118.236,59334,UDP,1/18/2022
120.29.225.201,238.110.13.171,43112,UDP,7/15/2022
204.169.239.100,38.96.32.248,7983,ICMP,7/17/2022
24.58.174.205,211.23.209.147,53188,TCP,11/13/2022
66.219.233.61,110.29.210.247,5009,ICMP,12/5/2022
100.21.241.248,156.84.241.35,11424,TCP,9/24/2022
50.129.114.240,160.84.93.84,57979,UDP,2/12/2022
102.148.76.241,221.58.69.48,32048,TCP,12/22/2022
145.234.127.175,55.198.63.166,41870,TCP,12/6/2022
171.100.37.119,239.74.110.67,40190,UDP,2/4/2022
76.48.89.46,115.210.62.182,21508,UDP,6/9/2022
37.56.234.180,222.22.204.69,24607,UDP,2/4/2022
250.134.173.82,171.222.62.1,33806,ICMP,1/19/2022
88.199.117.59,12.237.63.247,3539,UDP,1/18/2022
65.189.63.163,136.66.8.220,21332,ICMP,1/14/2022
70.32.32.70,156.11.47.247,12901,UDP,12/17/2022
150.1.23.3,36.61.230.69,30963,UDP,7/29/2022
205.179.249.156,211.127.146.185,38078,TCP,4/20/2022
6.213.221.174,226.184.75.97,59411,TCP,2/1/2022
253.11.22.251,124.97.96.17,49255,UDP,11/8/2022
76.211.246.42,1.182.110.28,15391,TCP,4/12/2022
118.142.235.213,199.149.226.38,1005,UDP,9/20/2022
225.147.45.235,53.165.241.195,13480,TCP,9/24/2022
236.97.88.95,111.206.107.116,51385,UDP,10/30/2022
133.54.213.219,135.212.129.6,3851,UDP,12/28/2022
10.73.124.196,240.216.39.16,33314,UDP,8/20/2022
208.186.219.248,111.107.106.246,3215,UDP,11/14/2022
230.146.92.45,243.5.137.219,48062,ICMP,12/25/2022
20.30.153.230,70.6.71.19,62031,TCP,11/12/2022
34.253.26.115,10.34.118.19,55860,ICMP,9/30/2022
118.47.83.84,32.125.106.245,52071,UDP,3/20/2022
40.232.222.70,118.192.209.88,43483,ICMP,1/11/2022
28.141.44.232,52.132.18.129,8708,ICMP,10/22/2022
214.140.51.225,193.168.65.144,6338,TCP,11/10/2022
252.75.91.196,105.251.144.150,40273,UDP,3/16/2022
252.82.94.127,241.121.236.207,46074,UDP,9/22/2022
206.106.185.254,87.59.174.67,25867,TCP,12/14/2022
222.28.255.138,245.115.135.77,31076,UDP,7/1/2022
223.41.176.237,93.175.3.239,52148,UDP,7/18/2022
179.221.2.236,9.246.8.54,13301,ICMP,3/24/2022
242.219.208.186,37.241.166.229,40137,TCP,12/13/2022
103.212.40.247,169.232.157.172,36783,TCP,4/12/2022
184.180.135.188,81.134.191.231,53940,UDP,6/25/2022
157.198.92.191,89.132.108.64,45201,TCP,10/25/2022
168.174.30.112,115.99.59.124,433,UDP,11/25/2022
109.74.237.84,105.102.208.92,44611,ICMP,6/11/2022
200.196.22.245,145.234.176.164,23551,UDP,12/22/2022
196.221.7.153,15.64.169.65,51562,ICMP,11/3/2022
179.249.96.19,30.53.117.71,18948,UDP,7/30/2022
233.177.169.94,150.208.28.27,47448,UDP,1/14/2022
36.190.46.135,145.157.75.118,38207,UDP,12/29/2022
252.254.176.134,131.163.103.71,52290,ICMP,3/19/2022
252.8.224.24,154.193.48.21,53651,ICMP,4/17/2022
123.133.197.47,126.160.124.171,32803,UDP,7/17/2022
19.114.98.82,65.234.211.212,65202,TCP,9/4/2022
183.172.18.47,63.120.6.92,59668,UDP,6/28/2022
28.27.220.140,107.16.211.240,61997,ICMP,11/25/2022
48.60.106.50,63.204.181.121,15427,UDP,1/27/2022
229.123.181.159,97.241.235.108,50352,ICMP,7/18/2022
43.69.16.122,127.196.101.252,10946,TCP,1/12/2022
135.162.45.241,143.117.235.156,46722,UDP,5/25/2022
20.212.253.235,248.103.153.215,19766,UDP,11/30/2022
240.203.31.166,118.240.231.232,56924,TCP,1/22/2022
201.177.25.60,26.177.71.97,19594,UDP,7/30/2022
82.160.108.26,31.143.104.123,9946,UDP,7/22/2022
71.16.118.179,213.94.15.239,33233,UDP,1/15/2022
203.234.234.207,114.19.87.104,12535,TCP,2/12/2022
62.156.25.85,122.214.249.255,2475,TCP,1/1/2022
154.165.155.237,207.230.208.113,45013,TCP,6/25/2022
233.89.179.211,140.126.170.42,50921,UDP,9/16/2022
91.96.181.219,67.59.109.19,14418,TCP,12/14/2022
120.75.132.252,5.119.229.22,55587,TCP,7/26/2022
41.131.177.42,67.49.173.170,51949,UDP,12/15/2022
234.34.230.163,2.149.51.210,12812,ICMP,10/9/2022
25.34.161.51,149.247.71.194,35508,ICMP,3/1/2022
248.165.124.27,135.184.59.31,59808,UDP,4/7/2022
27.125.18.68,85.251.23.227,44006,TCP,4/17/2022
67.137.129.220,148.80.52.201,51733,TCP,3/29/2022
120.239.15.102,44.141.235.84,14418,TCP,3/21/2022
0.14.214.240,29.59.39.94,20924,TCP,6/15/2022
129.92.217.112,31.108.58.30,44827,TCP,8/6/2022
117.245.162.230,3.247.229.90,33827,ICMP,11/5/2022
158.152.241.39,230.252.167.23,43117,UDP,1/19/2022
24.255.149.225,60.148.86.155,8901,ICMP,5/31/2022
217.129.214.236,76.48.191.98,29072,ICMP,5/11/2022
74.99.184.230,207.36.7.134,25576,TCP,5/9/2022
114.11.96.132,129.7.248.221,58770,ICMP,8/16/2022
180.86.5.130,75.238.136.239,57616,ICMP,5/24/2022
135.111.222.128,169.212.188.165,9886,UDP,8/30/2022
14.26.173.48,220.71.189.231,22504,TCP,2/16/2022
54.53.93.10,190.150.147.224,59371,ICMP,8/12/2022
94.181.35.236,123.151.96.65,30098,UDP,7/2/2022
32.80.48.65,42.217.20.89,15792,TCP,1/31/2022
227.136.225.75,203.22.160.199,52975,UDP,8/25/2022
209.253.175.79,77.15.56.123,35951,UDP,4/17/2022
223.18.178.98,234.231.190.205,57494,TCP,5/31/2022
126.229.50.217,253.200.249.81,19349,TCP,10/25/2022
154.116.137.253,234.140.110.27,227,TCP,7/30/2022
132.105.100.139,229.64.74.29,38299,ICMP,11/5/2022
5.190.76.12,35.126.156.10,21863,ICMP,8/3/2022
138.128.215.12,146.189.71.111,20089,UDP,7/30/2022
231.54.152.41,107.23.26.94,46612,TCP,5/24/2022
125.207.39.73,248.170.61.173,46495,UDP,11/7/2022
246.171.161.88,243.126.162.135,15476,UDP,2/11/2022
250.67.223.53,116.204.96.211,49025,UDP,1/30/2022
51.119.77.77,45.125.136.231,42325,UDP,11/23/2022
31.123.92.142,74.88.70.27,2059,UDP,4/28/2022
2.211.196.93,171.180.50.131,20662,ICMP,10/11/2022
190.212.176.140,60.2.232.69,11906,UDP,1/24/2022
198.251.5.254,124.64.127.192,48207,TCP,8/18/2022
16.152.23.137,2.185.87.231,49989,ICMP,8/30/2022
97.155.9.97,59.214.252.233,39631,ICMP,4/25/2022
198.6.237.54,199.240.172.50,14176,TCP,6/17/2022
132.66.251.118,130.111.126.121,36752,TCP,7/28/2022
78.181.133.185,67.35.99.123,38131,UDP,12/1/2022
248.184.72.139,206.93.78.168,20485,TCP,12/24/2022
48.158.56.226,60.114.250.33,43237,ICMP,12/26/2022
79.63.234.42,45.220.18.56,31707,UDP,4/1/2022
26.168.167.73,127.136.121.108,24139,TCP,1/10/2022
220.142.53.131,78.210.104.144,24917,TCP,10/19/2022
40.112.176.66,131.68.214.225,54639,TCP,6/8/2022
140.197.39.136,71.181.128.30,28920,ICMP,9/7/2022
205.59.107.181,112.132.252.205,38379,TCP,5/5/2022
92.82.110.104,187.29.185.126,35240,TCP,7/29/2022
238.198.148.160,219.51.232.89,55685,UDP,7/31/2022
101.5.207.70,238.90.209.201,56490,ICMP,1/1/2022
63.229.206.146,92.32.64.103,827,ICMP,10/13/2022
176.138.169.204,172.60.104.159,9598,UDP,10/10/2022
146.238.13.229,115.102.1.184,15825,TCP,6/26/2022
123.224.133.225,164.157.12.243,7320,TCP,2/27/2022
217.125.31.20,200.167.44.254,40368,ICMP,1/23/2022
89.104.70.9,203.67.137.75,65123,ICMP,10/24/2022
136.66.68.190,124.38.227.60,55686,UDP,3/23/2022
109.165.192.192,102.38.72.201,52347,TCP,9/17/2022
252.99.236.98,155.132.204.148,21052,UDP,3/27/2022
29.136.212.247,205.183.242.232,20727,UDP,3/5/2022
226.9.227.201,132.93.195.216,31377,TCP,9/3/2022
113.119.177.91,206.130.160.85,24890,UDP,10/24/2022
76.13.124.0,190.13.151.241,40497,ICMP,4/28/2022
150.36.195.60,27.60.231.104,64089,TCP,2/13/2022
25.81.95.119,0.150.117.105,64964,UDP,6/24/2022
3.249.150.167,174.86.56.213,45986,UDP,11/24/2022
251.248.190.74,153.236.40.75,59158,TCP,7/25/2022
0.172.68.195,144.223.117.248,55004,ICMP,11/18/2022
141.200.110.30,8.6.185.193,26788,ICMP,7/15/2022
211.238.196.77,9.9.67.11,54467,ICMP,8/17/2022
233.251.122.64,157.218.130.203,58943,TCP,11/27/2022
84.187.240.28,15.80.64.80,62640,UDP,5/20/2022
27.81.81.138,236.31.180.169,911,TCP,6/16/2022
71.94.231.128,239.114.70.83,4761,TCP,6/24/2022
242.157.147.98,9.0.61.238,51438,UDP,5/10/2022
3.219.128.119,36.98.102.20,25731,ICMP,3/26/2022
97.103.46.233,161.176.20.119,26750,UDP,10/23/2022
21.28.188.183,152.65.35.231,55110,TCP,9/17/2022
10.226.174.121,178.216.68.62,19127,TCP,7/19/2022
149.1.61.82,34.162.108.128,58980,TCP,4/5/2022
188.17.245.44,207.157.183.235,62711,TCP,1/24/2022
71.184.44.200,238.17.126.29,25520,ICMP,4/26/2022
62.86.241.140,192.180.228.105,16621,ICMP,3/9/2022
187.209.134.113,101.192.227.17,48158,ICMP,3/16/2022
134.147.165.220,199.58.230.110,49884,UDP,2/23/2022
51.211.155.56,31.115.97.78,44401,TCP,6/23/2022
79.216.200.126,29.135.103.204,16220,UDP,11/10/2022
59.125.197.129,134.141.252.179,8004,UDP,8/23/2022
217.61.51.199,211.3.61.247,55027,ICMP,5/14/2022
227.111.209.146,18.73.215.127,41015,ICMP,9/11/2022
43.96.81.254,67.143.218.96,50057,TCP,3/16/2022
172.149.179.110,190.60.102.25,52271,TCP,6/11/2022
253.60.168.69,82.148.200.19,16010,TCP,7/12/2022
145.76.67.125,120.141.56.40,65361,ICMP,7/16/2022
199.169.227.208,9.142.214.242,22198,UDP,1/18/2022
246.158.175.56,6.44.188.26,21065,ICMP,6/17/2022
211.22.173.153,125.197.45.39,56929,TCP,5/26/2022
249.77.89.212,95.21.5.43,58908,ICMP,1/9/2022
27.44.199.188,169.55.72.178,45686,ICMP,7/26/2022
72.67.213.48,94.110.76.207,54120,UDP,8/25/2022
46.85.46.113,58.37.75.124,5677,ICMP,7/22/2022
18.197.201.9,84.167.68.253,14625,TCP,12/2/2022
211.12.67.35,153.249.241.164,13319,UDP,7/31/2022
105.167.126.237,162.192.154.51,21631,UDP,5/20/2022
250.131.86.105,226.7.130.4,61666,TCP,11/15/2022
138.246.254.28,202.129.187.127,64557,UDP,8/21/2022
245.172.155.198,86.65.26.200,49542,UDP,4/15/2022
97.226.245.73,53.184.3.74,49310,ICMP,12/29/2022
4.225.153.242,193.10.172.29,12433,ICMP,10/25/2022
220.91.30.18,254.155.220.249,59679,ICMP,8/31/2022
77.247.134.22,88.151.136.26,111,UDP,3/21/2022
79.177.139.161,50.96.125.226,7382,UDP,7/15/2022
164.86.131.171,203.66.151.3,25898,UDP,5/23/2022
248.80.237.147,234.253.72.255,1490,ICMP,3/2/2022
202.89.105.221,162.223.190.21,17167,ICMP,8/29/2022
95.100.115.232,162.16.36.217,38078,UDP,1/13/2022
59.184.132.70,97.28.72.10,36970,ICMP,12/19/2022
61.93.52.142,135.214.171.206,44744,TCP,4/23/2022
226.166.94.254,227.134.226.13,11820,UDP,3/15/2022
140.186.16.109,31.55.8.202,648,TCP,12/20/2022
52.3.140.54,218.213.146.113,25053,TCP,3/19/2022
11.141.149.72,152.151.135.192,2666,TCP,3/13/2022
66.102.43.248,83.24.163.45,54253,ICMP,6/14/2022
193.40.205.170,83.116.56.112,2754,ICMP,12/8/2022
152.2.70.5,14.83.125.60,36034,UDP,5/9/2022
53.120.29.64,18.93.142.58,49649,TCP,11/12/2022
76.56.60.163,95.45.138.34,32067,TCP,7/14/2022
46.71.112.47,137.174.59.208,14203,TCP,5/18/2022
90.233.184.92,34.39.148.7,36656,UDP,11/14/2022
181.54.157.155,62.68.146.112,13444,TCP,12/17/2022
156.160.143.187,255.9.204.154,8724,TCP,9/13/2022
179.34.97.81,73.224.132.10,7747,TCP,11/13/2022
248.129.230.97,89.251.82.146,16039,ICMP,1/8/2022
180.140.223.248,174.253.0.91,26281,ICMP,12/16/2022
54.193.73.175,140.175.216.153,56456,TCP,11/8/2022
126.94.80.164,207.217.222.182,8583,ICMP,1/21/2022
142.11.140.31,24.123.83.159,9066,ICMP,8/5/2022
223.235.187.255,1.67.129.24,15034,TCP,5/28/2022
217.130.139.164,154.42.197.128,24199,ICMP,8/14/2022
190.150.248.22,189.123.254.197,32748,ICMP,1/27/2022
0.21.100.132,124.155.151.245,19734,ICMP,10/29/2022
117.206.89.29,14.210.134.94,45070,ICMP,1/18/2022
233.23.129.100,126.19.197.192,40076,TCP,8/10/2022
138.159.208.238,120.6.209.157,44749,ICMP,7/5/2022
240.11.84.18,118.174.201.198,34451,UDP,11/2/2022
237.120.0.117,151.34.237.29,65078,ICMP,1/22/2022
220.187.69.139,195.168.13.12,2371,UDP,8/24/2022
145.102.119.84,158.107.91.243,54436,ICMP,7/11/2022
